,Con_Early_Pf,Con_Early_Pf,Con_Early_Pf,Fast_Early_Pf,Fast_Early_Pf,Fast_Early_Pf,Slow_Early_Pf,Slow_Early_Pf,Slow_Early_Pf
ptr.miR.26b,0,0,0,0,3,0,0,0,0
isc.bantam,1,0,1,1,0,1,0,0,0
dme.miR.965.3p,2,0,3,0,0,0,0,0,0
oar.miR.21,0,0,2,0,0,1,0,0,0
dme.miR.100.3p,0,0,0,0,0,0,0,0,0
chi.miR.21.5p,0,0,2,0,0,1,0,0,0
ggo.miR.148a,1,0,0,2,0,0,0,0,0
hsa.miR.25.3p,0,1,0,0,1,1,0,0,0
tur.miR.263a.5p,1,0,1,2,0,2,0,0,0
lmi.miR.210.3p,0,0,0,0,0,0,0,0,2
tca.miR.210.3p,0,0,0,0,0,0,0,0,0
hsa.miR.141.3p,0,0,0,0,0,1,5,0,0
ngi.miR.210,0,0,0,0,0,0,0,0,0
hme.miR.190,3,0,0,1,0,0,0,0,0
dvi.miR.929.5p,1,0,1,2,2,2,0,0,0
bta.miR.2904,0,1,1,0,0,0,0,0,0
