,Con_Early_Pf_1,Con_Early_Pf_2,Con_Early_Pf_3,Con_Mid_Pup_2_1,Con_Mid_Pup_2_2,Con_Mid_Pup_2_3,Early_PF_1,Early_PF_2,Early_PF_3,Early_Pup_1,Early_Pup_2,Early_Pup_3,Fast_Early_Pf_1,Fast_Early_Pf_2,Fast_Early_Pf_3,Fast_Mid_Pup_2_1,Fast_Mid_Pup_2_2,Fast_Mid_Pup_2_3,Feed_3rd_1,Feed_3rd_2,Feed_3rd_3,Late_PF_1,Late_PF_2,Late_PF_3,Late_Pup_1,Late_Pup_2,Late_Pup_3,Mid_Pup_1_1,Mid_Pup_1_2,Mid_Pup_1_3,Mid_Pup_2_1,Mid_Pup_2_2,Mid_Pup_2_3,Slow_Early_Pf_1,Slow_Early_Pf_2,Slow_Early_Pf_3,Slow_Mid_Pup_2_1,Slow_Mid_Pup_2_2,Slow_Mid_Pup_2_3
>hme-let-7,0,0,0,3,2,0,3,1,9,8,9,12,0,0,0,2,0,0,0,0,0,0,0,0,7,2,3,8,17,16,23,12,38,0,0,0,46,98,100
>hsa-miR-148a-3p,14,14,51,7,0,0,11,34,81,0,0,0,50,15,21,98,7,60,25,45,35,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
>hsa-miR-16-5p,0,0,1,4,1,0,2,1,2,0,1,1,2,1,5,0,0,4,0,2,1,2,0,0,1,0,1,2,0,0,0,1,2,37,0,1,0,0,1
>hsa-miR-192-5p,11,3,17,10,0,0,6,28,69,0,0,0,11,4,0,69,1,29,18,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
>hsa-miR-22-3p,95,45,217,80,0,0,15,99,238,0,1,0,222,58,80,380,13,184,72,162,78,4,3,2,0,0,0,0,0,0,0,2,0,5,3,0,0,0,0
>hsa-miR-26a-5p,11,5,23,17,0,0,5,20,38,0,0,0,26,2,8,75,2,18,7,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
>mse-miR-317,6,0,2,12,12,2,3,4,7,1,1,1,5,2,1,11,2,4,1,3,2,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,2,0
>ola-miR-125c,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,8,2,2,6,2,3,5,8,4,2,0,0,9,16,22
>ola-miR-143,1,2,6,10,0,0,2,11,28,0,0,0,3,3,3,15,0,3,6,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
>sko-miR-9-5p,32,11,15,81,34,14,112,38,272,18,29,64,42,7,14,88,3,26,15,23,25,7,16,6,24,3,19,30,41,66,16,11,0,0,1,0,1,19,4
>tca-miR-283-5p,13,5,8,17,4,0,9,10,26,4,4,7,26,7,9,18,0,13,19,12,14,0,7,3,0,1,2,3,0,5,0,1,0,0,0,0,0,1,0
>tch-miR-30a-5p,8,2,12,2,0,0,2,10,22,0,0,0,22,7,5,15,3,23,7,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
>tur-miR-10-5p,3,2,7,5,3,5,8,3,13,0,0,0,10,2,7,9,0,4,8,18,11,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1
>tur-miR-317-3p,20,5,4,15,12,3,3,3,8,1,0,2,11,7,11,4,0,6,11,5,2,2,4,4,1,0,0,3,2,4,0,0,1,0,1,1,1,3,3
>xtr-miR-9-5p,29,9,31,54,15,11,56,22,136,16,19,47,53,19,10,61,6,28,19,35,28,3,20,6,2,0,3,36,35,43,24,4,1,0,0,3,1,16,10
